,loc_id,latitude,longitude,subnational1_code,entry_technique,sub_id,obs_id,month,day,year,proj_period_id,species_code,how_many,valid,reviewed,day1_am,day1_pm,day2_am,day2_pm,effort_hrs_atleast,snow_dep_atleast,data_entry_method
56,L32764,44.2205227,-69.7826135,US-ME,POSTCODE LAT/LONG LOOKUP,S88998478,OBS1167406122,12,12,2020,PFW_2021,blujay,2,1,0,1,1,1,1,1.001,5.0,PFW Web 4.1.4
81,L3604621,40.347388,-79.81925,US-PA,/GOOGLE_MAP/ZOOM:15,S81274677,OBS1072977961,1,18,2021,PFW_2021,blujay,2,1,0,1,0,1,0,1.001,0.001,PFW Web 4.1.4
84,L161629,45.06583,-64.57318,CA-NS,POSTCODE LAT/LONG LOOKUP,S79894347,OBS1059462255,1,23,2021,PFW_2021,blujay,3,1,0,1,1,1,1,8.001,15.001,PFW Web 4.1.4
118,L161518,49.4661474,-115.4453444,CA-BC,POSTCODE LAT/LONG LOOKUP,S76308677,OBS1012590848,11,14,2020,PFW_2021,blujay,4,1,0,1,1,1,1,1.001,5.0,PFW Web 4.0.4
147,L2417222,41.1425965,-75.8623123,US-PA,/GOOGLE_MAP/ZOOM:14,S77259134,OBS1025731148,12,7,2020,PFW_2021,blujay,1,1,0,1,1,1,1,4.001,0.0,PFW Web 4.1.4
151,L8664110,41.9065336,-73.3068434,US-CT,/GOOGLE_MAP/ZOOM:15,S80705563,OBS1069119352,2,9,2021,PFW_2021,blujay,8,1,0,1,1,1,1,4.001,15.001,PFW Mobile App v1.1.17
183,L6445895,40.938894,-77.115653,US-PA,/GOOGLE_MAP/ZOOM:15,S82669038,OBS1086456958,3,1,2021,PFW_2021,blujay,1,1,0,1,0,1,0,1.001,,PFW Web 4.1.4
197,L283424,41.6292852,-71.5003738,US-RI,ESRI_WEBSERVICE_STREET,S80355797,OBS1065083232,2,1,2021,PFW_2021,blujay,14,1,0,1,1,0,0,1.001,5.0,PFW Web 4.1.4
227,L19412,43.786,-79.153,CA-ON,POSTCODE LAT/LONG LOOKUP,S85810829,OBS1124801863,3,6,2021,PFW_2021,blujay,1,1,0,1,1,1,1,8.001,0.001,PFW Web 4.1.4
268,L8092606,43.1272568,-79.2532862,CA-ON,/GOOGLE_MAP/ZOOM:15,S76383423,OBS1013514055,11,14,2020,PFW_2021,blujay,2,1,0,1,1,1,1,1.001,0.0,PFW Web 4.1.4
282,L12713312,41.1673661,-73.2939704,US-CT,/GOOGLE_MAP/ZOOM:15,S77587921,OBS1030359495,12,11,2020,PFW_2021,blujay,1,1,0,0,1,0,1,1.001,0.0,PFW Web 4.1.4
342,L5191341,33.1762812,-94.5424926,US-TX,/GOOGLE_MAP/ZOOM:17,S85404945,OBS1119455900,4,9,2021,PFW_2021,blujay,3,1,0,1,1,1,1,1.001,,PFW Web 4.1.4
349,L76056,40.2087974,-75.3028679,US-PA,postal_code,S77471175,OBS1028694205,12,12,2020,PFW_2021,blujay,2,1,0,1,1,1,1,0.001,0.0,PFW Web 4.1.4
375,L358057,43.877585,-69.574188,US-ME,ESRI_WEBSERVICE_STREET,S81483186,OBS1074181646,2,13,2021,PFW_2021,blujay,7,1,0,1,1,1,1,1.001,15.001,PFW Web 4.1.4
391,L5074783,43.5971643,-90.5634828,US-WI,/GOOGLE_MAP/ZOOM:14,S83919478,OBS1101125484,3,2,2021,PFW_2021,blujay,1,1,0,1,1,1,1,0.001,0.001,PFW Web 4.1.4
394,L6478868,42.8411317,-80.316292,CA-ON,/GOOGLE_MAP/ZOOM:17,S77964265,OBS1035672562,11,29,2020,PFW_2021,blujay,1,1,0,0,1,0,1,0.001,0.0,PFW Web 4.1.4
418,L233892,39.6397057,-84.1279755,US-OH,PointMaker1.0_2,S80709070,OBS1069155119,1,9,2021,PFW_2021,blujay,2,1,0,1,1,1,1,1.001,0.0,PFW Web 4.1.4
422,L3976998,45.3856176,-73.9542143,CA-QC,/GOOGLE_MAP/ZOOM:15,S76648593,OBS1017173854,11,23,2020,PFW_2021,blujay,5,1,0,1,1,1,1,4.001,0.001,PFW Web 4.1.4
471,L5190914,44.4483646,-77.2001123,CA-ON,/GOOGLE_MAP/ZOOM:15,S77844682,OBS1033956349,12,13,2020,PFW_2021,blujay,16,1,0,1,1,1,1,1.001,0.001,PFW Web 4.1.4
481,L801079,42.0872038,-88.2614136,US-IL,ESRI_WEBSERVICE_STREET/GOOGLE_MAP/ZOOM:2,S77459298,OBS1028477356,12,12,2020,PFW_2021,blujay,3,1,0,1,1,1,1,1.001,0.0,PFW Web 4.1.4
505,L12748045,37.4319933,-77.6937001,US-VA,/GOOGLE_MAP/ZOOM:17,S76911817,OBS1020817779,11,30,2020,PFW_2021,blujay,2,1,0,1,1,1,1,1.001,0.0,PFW Web 4.1.4
516,L81460,40.5744241,-79.1276121,US-PA,applet_mo2applet_1.0,S86051653,OBS1127994533,4,6,2021,PFW_2021,blujay,3,1,0,0,1,1,1,4.001,0.0,PFW Web 4.1.4
