City,Lat,Long
Los Angeles,34.05223,-118.24368
Santa Clara,37.354107,-121.955238
Seattle,47.608013,-122.335167
Denver,39.742043,-104.991531
Glendale,33.548264,-112.191696
Las Vegas,36.114647,-115.172813
Kansas City,39.099724,-94.578331
Cincinnati,39.103119,-84.512016
Minneapolis,44.986656,-93.258133
Arlington,32.705002,-97.12278
Pittsburgh,40.44062,-79.99589
Tampa,27.964157,-82.452606
Chicago,41.85003,-87.65005
Houston,29.749907,-95.358421
Atlanta,33.753746,-84.38633
Detroit,42.33143,-83.045754
Nashville,36.174465,-86.76796
East Rutherford,39.833851,-74.871826
Philadelphia,39.952583,-75.165222
Foxborough,42.064836,-71.249625
